Country,Code,ContinentCode,Year,Cost of living index world average = 100,Food price index world average = 100,Fruit price index world average = 100,Vegetable price index world average = 100,Bread and cereal prices world average = 100,Milk cheese and eggs price index world average = 100,Meat price index world average = 100,Fish and seafood prices world average = 100,Alcohol beverage price index world average = 100,Clothing and footwear prices world average = 100,Housing and utilities price index world average  = 100,Furniture and household maintenance prices world average = 100,Healthcare price index world average = 100,Transport prices world average = 100,Hotel and restaurant price index world average = 100,Vehicle prices world average = 100,Communication price index world average = 100,Recreation and culture price index world average = 100,Education service price index world average = 100,Machinery and equipment prices world average = 100
Cyprus,CYP,EU,2017,108.2,126.753,116.36,127.59,148.25,138.43,115.02,149.92,98.42,125.97,96.142,103.24,109.91,116.86,115.34,94.8,100.74,99.6,160.28,90.77
Cyprus,CYP,EU,2021,112.69,129.72,118.77,161.71,144.63,136.65,106.25,155.24,97.38,123.74,110.5,106.84,110.11,121.72,118.58,101.1,131.05,101.17,157.03,96.67
Czechia,CZE,EU,2017,83.97,93.819,99.06,112.27,91.43,85.81,90.96,133.75,69.98,123.91,89.812,94.89,46.54,97.56,75.54,87.81,112.12,76.23,64.16,89.57
Czechia,CZE,EU,2021,85.27,105.36,110.94,132.87,104.14,96.27,98.5,145.3,84.82,121.93,108.33,105.02,49.41,112.85,76.83,99.8,143.58,81.05,82.68,92.31
Democratic Republic of the Congo,COD,AF,2017,61.73,93.419,51.5,84.92,106.05,145.85,90.89,104.49,96.26,58.06,45.677,49.31,45.22,72.09,67.02,103.86,118.56,52.11,40.62,138.78
Democratic Republic of the Congo,COD,AF,2021,66.41,105.36,66.65,99.74,116.7,179.04,102.82,97.93,100.66,59.49,71.82,49.43,42.18,89.29,60.27,155.7,107.27,55.1,29.12,122.64
Denmark,DNK,EU,2017,171.78,151.189,135.34,175.54,181.4,114.51,150.13,190.29,109.27,175.17,228.068,140.8,147.83,173.28,189.75,155.59,114.5,162.05,196.8,106.04
Denmark,DNK,EU,2021,171.49,140.2,132.3,181.53,177.52,117.61,113.28,179.64,121.39,174.98,257.84,144.76,149.48,177.66,206.35,143.75,122.83,156.6,181.79,107.06
Djibouti,DJI,AF,2017,84.48,126.816,113.82,117.38,160.06,165.63,104.52,120.18,182.91,64.02,59.623,77.45,78.98,78.48,76.22,120.75,123.73,88.87,86.05,124.86
Djibouti,DJI,AF,2021,79.02,128.8,121.81,112.66,146.74,179.2,115.19,99.88,177.91,60.09,60.42,107.7,66.17,91.11,54.42,103.37,170.44,74.42,59.72,110.77
Dominica,DMA,NA,2017,99.61,142.201,178.15,236.25,162.11,146.87,109.26,103.27,169.71,87.14,72.97,108.78,74.92,125.62,62.86,123.79,134.1,110.3,53.9,108.89
Dominica,DMA,NA,2021,88.45,156.34,183.02,272.84,159.23,185.52,113.76,142.2,157.05,84.85,58.67,114.55,75.33,106.84,75.12,101.76,94.33,94.2,67.87,86.06
Dominican Republic,DOM,NA,2017,73.55,104.939,105.11,132.46,122.71,117.01,76,106.77,154.61,78.75,45.149,60.52,56.62,81.09,69.79,108.42,99.29,83.75,47.9,115.21
Dominican Republic,DOM,NA,2021,59.04,92.3,86.27,105.13,97.56,116.96,70.82,90.02,130.03,79.42,25.5,67.99,48.7,80.94,79.28,104.75,129.11,58.46,58.51,124.78
Ecuador,ECU,SA,2017,82.35,103.177,76.37,86.84,119.7,110.77,95.55,122.39,169.36,126.05,54.991,86.32,67.88,72.85,118.35,133.85,105.08,85.32,74.28,105.17
Ecuador,ECU,SA,2021,72.37,96.65,68.19,76.22,118.56,98.05,83.68,104.85,153.55,118.41,51.68,75.84,68.69,60.05,79.82,110.69,125.25,58.37,63.93,94.16
Egypt,EGY,AF,2017,27.37,52.288,41.99,30.76,60.61,60.89,70.06,48.85,77.61,33.54,10.146,35.91,18.61,31.57,26.44,93.48,25.22,29.54,20.1,82.54
Egypt,EGY,AF,2021,37.46,63.81,54.86,41.73,67.88,82.59,78.65,65.09,90.55,48.43,21.64,56.81,24.9,49.04,28.91,119.9,43.58,41,23.82,85.76
El Salvador,SLV,NA,2017,73.82,86.25,69.43,133.83,115.69,100.25,81.42,80.23,145.2,107.11,72.933,68.79,59.68,69.7,65.92,105.02,114.84,72.98,60.7,97.86
El Salvador,SLV,NA,2021,71.35,87.72,80.95,138.03,104.07,98.62,75.87,77.17,109.91,112.36,92.17,64.03,54.3,65.85,75.01,86.74,94.4,59.44,50.12,87.81
Equatorial Guinea,GNQ,AF,2017,74.93,118.227,109.24,166.46,142.04,127.79,89.32,84.28,86.65,97.44,42.777,71.34,57.46,76.68,80.17,115.5,169.74,57.24,21.73,122.92
Equatorial Guinea,GNQ,AF,2021,71.63,134.06,129.95,163.32,158.61,155.68,84.75,118.99,91.5,108.52,40.33,81.93,45.05,81.14,71.85,101.6,242.59,79.26,24.76,98.19
Estonia,EST,EU,2017,96.58,106.699,115.28,130.26,109.37,99.17,102.36,139.99,103.43,137.24,90.862,103.33,71.8,107.95,106.71,92.7,73.92,95.18,72.33,88.72
Estonia,EST,EU,2021,103.16,115.12,118.89,160.25,121.3,99.67,105.27,137.26,108.19,141.03,118.85,111.14,79.31,123.85,124.46,105.35,104.59,102.94,85.98,89.78
Ethiopia,ETH,AF,2017,51.03,88.177,88.66,63.7,89.49,134.49,98.91,87.96,96.23,58.14,32.798,59.29,29.84,40.06,33.08,141.41,56.13,41.39,30.28,141.75
Ethiopia,ETH,AF,2021,40.1,74.65,72.11,51.53,83.82,120.29,90.33,56.74,76.08,54.89,29.97,46.6,23.6,36.8,29.39,139.11,33.95,27.64,27.86,120.47
Fiji,FJI,OC,2017,68.38,94.463,112.57,95.68,89.77,146.29,100.44,86.38,215.78,74.01,38.128,88.18,49.03,77.68,63.21,125.58,55.01,53.8,73.09,108.09
Fiji,FJI,OC,2021,67.74,93.28,108.85,111.9,88.67,122.66,92.21,77.17,174.79,67.72,43.55,85.52,48.19,75.49,87.5,98.19,73.5,64.5,62.38,108.56
Finland,FIN,EU,2017,151.13,135.333,145.78,180.96,150.14,112.18,148.46,162.57,156.01,153.53,194.471,129.55,150.05,152.76,160.6,119.94,91.86,135.32,142.76,100.44
Finland,FIN,EU,2021,154.92,132.99,140.92,186.53,154.22,109.65,128.48,160.32,183.3,152.94,197.61,124.77,157.54,164.5,176.4,120.98,123.39,138.89,141.6,96.35
France,FRA,EU,2017,135.27,132.25,162.59,159.96,130.66,97.3,160.4,166.3,83.59,137.84,169.016,124.63,109.69,141.89,147.23,113.31,109.61,119.58,125.12,95.16
France,FRA,EU,2021,130.39,132.06,169.86,175.88,130.33,94.77,155.63,158.49,84.61,139.99,173.17,125.25,102.73,153.07,157.62,114.59,121.92,118.47,117.8,94.83
Gabon,GAB,AF,2017,78.6,120.011,112.03,157.19,127.72,121.26,112.34,98.56,88.05,85.72,75.103,70.63,64.92,85.64,60.16,118.11,108.94,69.93,35.08,119.47
Gabon,GAB,AF,2021,76.62,122.51,134.43,173.94,121.48,130.51,105.56,92.55,85.73,83.22,81.03,73.84,60.73,93.01,67.52,102.93,141.46,74.39,37.86,96.81
Gambia,GMB,AF,2017,46.48,75.281,64.8,85.07,70.09,108.03,74.51,50.41,134.73,29.16,34.9,37.19,35.37,52.13,45.97,124.88,59.38,37.74,30.26,137.72
Gambia,GMB,AF,2021,43.08,80.66,71.47,91.28,82.58,105.14,76.56,58.07,100.75,35.21,21.8,39.73,28.31,53.49,45.75,105.28,82.92,36.8,25.77,108.89
Georgia,GEO,AS,2017,52.82,79.168,,,66.27,104.68,75.34,142.87,84.2,117.69,37.851,83,32.97,59.28,60.71,95.74,57,47.88,22.3,81.55
Georgia,GEO,AS,2021,44.66,81.76,71.44,78.44,79.52,120.11,64.48,80.16,73.52,89.83,33.81,71.46,28.45,60.48,51.13,88.34,60.37,55.5,11.87,94.85
Germany,DEU,EU,2017,127.47,116.028,122.35,149.13,118.54,90.25,129.24,182.79,77.5,124.04,161.346,118.91,112.67,141.33,137.9,108.18,113.92,115.91,141,87.62
Germany,DEU,EU,2021,131.05,124.86,146.44,169.71,128.99,96.61,138.32,173.17,72.33,129.8,168.92,123.14,117.52,151.82,149.25,113.16,140.49,116.87,149.45,89.37
Ghana,GHA,AF,2017,57.69,101.488,53.44,135.32,112.39,154.7,72.01,96.28,78.53,45.23,47.678,45.12,45.36,64.37,49.72,95.28,51.85,46.49,29.59,134.84
Ghana,GHA,AF,2021,60.14,111.31,66.62,108.15,146.85,175.43,74.78,82.48,90.56,50.15,46.69,48.86,31.73,109.59,48.29,142.98,67.58,55.52,39.17,78.62
Greece,GRC,EU,2017,104.66,121.131,86.15,128.3,135.84,131.34,114.22,158.22,119.46,124.45,93.385,107.18,95.17,120.91,103.71,100.56,171.14,93.79,76.59,98.29
Greece,GRC,EU,2021,101.6,124.87,98.55,148.91,138.58,136.45,109.29,160.47,129.49,123.23,101.53,105.53,88.3,126.12,116.72,102.05,206.62,97.38,66.97,91.16
Grenada,GRD,NA,2017,95.54,152.107,174.98,238.77,160.58,170.66,114.36,124.39,160.75,93.74,53.507,121.75,72.22,115.65,70.45,152.89,145.93,106.33,69.86,122.12
Grenada,GRD,NA,2021,99.6,162.87,202.36,271.03,166.25,169.36,131.16,133.54,132.42,101.14,55.53,125.84,74.16,150.4,92.48,108.07,159.47,88.73,60.02,118.67
Guatemala,GTM,NA,2021,66.62,92.39,76.63,105.87,105.68,116.56,74.89,121.34,98.3,78.09,68.78,54.88,58.41,70.28,41.27,88.02,160.76,62.46,50.01,71.17
Guinea,GIN,AF,2017,50.48,96.107,71.19,159.73,73.65,133.28,66.4,78.8,108.51,35.03,22.665,42.26,47.21,46.26,33.39,119.13,63.68,37.12,21.37,121.39
Guinea,GIN,AF,2021,47.59,94.91,80.05,142.43,79.55,171.93,82.83,89,129.3,38.24,28.05,44.7,35.84,59.6,31.73,125.76,62.22,38.98,27.76,119.33
Guinea-Bissau,GNB,AF,2017,57.18,91.334,85.08,125.54,93.58,122.16,80.38,68.26,74.91,62.4,30.665,56.65,38.57,64.06,74.97,113.73,87.04,63.27,29.82,129.16
Guinea-Bissau,GNB,AF,2021,55.73,100.22,89.92,130.36,105.19,133.11,92.77,78.83,83.62,67.62,31.29,53.15,41.97,71.51,57.88,122.31,103.31,51.91,26.26,116.13
Guyana,GUY,SA,2017,78.11,111.953,131.56,162.64,107.3,139.91,106,76.89,148.26,75.51,60.131,94.06,57.21,75.59,65.03,97.06,113.02,72.09,42.49,165.7
Guyana,GUY,SA,2021,68.84,127.45,163.08,222.06,117.21,120.11,105.06,160.18,151.37,77.97,43.92,97.24,56.3,81.88,61.44,87.73,77.83,58.45,42.07,128.95
Haiti,HTI,NA,2017,70.01,96.997,71.43,108.28,101.5,148.93,90.13,133.58,109.88,99.15,57.264,39.33,55.23,73.42,45.18,90.91,91.16,66.18,55.78,128.39
Honduras,HND,NA,2017,65.87,86.181,77.48,108.48,97.4,94.06,76.02,96.34,79.86,81.87,46.597,74.36,79.36,77.13,47.1,100.5,98.47,57.21,68.17,89.54
Honduras,HND,NA,2021,70.56,94.32,108.68,109.22,95.11,107.48,74.64,110.66,97,107.54,55.7,81.65,65.91,69.21,78.26,86.85,130.23,58.97,52.69,112.46
Hong Kong,HKG,AS,2017,114.81,151.611,169.65,174.82,132.9,187.16,137.27,165.49,137.32,98.32,112.78,110.32,138.09,128.9,88.62,105.02,113.01,70.05,176.06,108.41
Hong Kong,HKG,AS,2021,124.34,171.19,214.64,188.38,151.07,198.07,168.06,179.07,133.72,99.43,135.85,115.56,137.11,127.33,92.63,135.59,92.96,82.95,159.87,104.87
Hungary,HUN,EU,2017,77.19,96.955,99.81,119.67,90.04,90.56,92.78,138.21,68.6,113.33,62.637,89.98,52.59,107.04,75.87,96.36,101.74,71.28,65.51,83.07
Hungary,HUN,EU,2021,75.41,101.01,115.67,141.97,98.58,92.91,84.14,125.52,69.81,114.69,81.92,93.54,44.88,110.69,82.04,106.55,113.31,72.58,68.25,84.02
Iceland,ISL,EU,2017,209.1,179.378,156.44,210.05,192.36,167.47,216.64,175.01,249.97,206.78,220.55,166.72,228.54,194.11,232.37,141.14,170.54,191.42,268.37,114.04
Iceland,ISL,EU,2021,192.98,167.86,146.92,211.6,184.97,163.83,192.75,159.15,239.3,177.4,219.7,147.41,216.17,181.86,218.99,130.76,186.17,166.59,238.62,112.47
India,IND,AS,2017,42.86,58.758,58.15,52.22,55.79,68.69,65.43,62.36,139.03,36.86,34.561,50.6,24.62,60.97,42.25,79.3,39.22,38.23,40.25,86.82
India,IND,AS,2021,40.44,58.17,57.39,47.41,58.44,67.11,70.25,60.07,143.91,36.94,28.84,47.41,23.03,61.64,39.13,69.77,26.75,42.06,35.47,94.77
Indonesia,IDN,AS,2017,54.52,90.192,107.68,118.47,93.63,106.59,78.54,71.09,183.24,61.3,29.672,64.26,34.05,68.07,40.66,116.04,70.71,52.41,41.4,104.36
Indonesia,IDN,AS,2021,53.97,89.46,102.11,100.9,87.94,108.17,85.65,66.35,192.62,70.02,37.21,64.99,42.6,62.6,44.76,96.24,66.86,50.75,40.42,105.98
Iran,IRN,AS,2017,60.16,98.98,138.13,80.78,103.43,79.23,106.8,98.04,275.08,95.63,42.643,88.84,35.59,58.75,74.6,182.05,17.65,55.08,29.31,135.49
Iraq,IRQ,AS,2017,63.39,93.558,98.92,87.64,97.29,95.62,103.03,68.13,133.49,67.66,38.287,69.86,60.89,74.05,67.87,115.67,96.15,72.09,67.72,93.41
Iraq,IRQ,AS,2021,57.39,95.12,85.09,84.58,110.59,112.09,97.97,72.81,107.79,52.97,36.49,67.67,47.71,64.77,55.03,77.93,115.75,73.74,51.57,63.06
Ireland,IRL,EU,2017,157.19,139.882,158.01,177.33,145.01,121.71,134.46,162.06,160.89,138.84,222.32,120.49,177.7,142.3,151.45,119.27,152,122.55,138.51,92.83
Ireland,IRL,EU,2021,175.68,139.74,150.67,175.86,148.37,123.81,131.68,143.23,168.29,130.26,279.49,128.17,189.13,155.89,172.11,129.52,182.75,131.81,146.15,94.83
Israel,ISR,AS,2017,167.52,171.324,129.37,145.29,199.87,192.16,181.6,178.9,158.69,155.41,232.165,139.66,186.3,146.2,176.01,166.02,108.35,138.4,162.23,125.41
Israel,ISR,AS,2021,188.01,188.73,165.93,207.85,195.82,190.63,196.28,185.88,172.58,174.13,268.76,157.71,203.77,170.39,215.19,160.62,107.36,156.2,159.54,138.83
Italy,ITA,EU,2017,124.24,129.286,134.54,147.22,138.26,113.15,146.18,152.39,86.92,126.63,136.011,122.72,135.99,135.37,131.33,110.26,124.31,112.03,118.56,86.97
Italy,ITA,EU,2021,122.59,128.8,143.58,156.4,140.88,107.12,139.57,143.53,75.35,135.36,142.71,116.02,126.38,141.79,146.47,115.71,106.57,109.15,111.05,89.29
Ivory Coast,CIV,AF,2017,60.86,90.055,56.68,110.82,89.88,140.94,84.59,90.59,98.96,74.28,32.791,49.12,62.72,68.41,50.05,111.34,127.99,68.06,68.36,125.3
Ivory Coast,CIV,AF,2021,62.89,90.87,59.29,92.17,98.49,140.61,85.75,87.44,93.72,68,45.18,46.86,50.81,93.72,74.31,97.26,158.56,67.92,49.87,124.62
Jamaica,JAM,NA,2017,78.85,121.475,130.86,219.22,106.75,172.92,97.09,103.35,140.55,58.38,71.109,80.4,46.67,90.06,62.09,136.49,54.33,79.44,65.06,136.76
Jamaica,JAM,NA,2021,84.62,122.63,160.39,240.54,93.66,167.22,100.09,100.82,109.81,53.96,134.92,60.7,56.66,70.49,72.55,115.08,81.88,89.25,61.69,121.79
Japan,JPN,AS,2017,144.44,188.076,254.45,289.34,196.05,173.59,198.56,144.62,110.76,129.28,163.915,135.66,122.84,139.94,129.06,101.65,175.69,133.13,139.6,97.55
Japan,JPN,AS,2021,142.81,199.51,281.73,304.12,206.07,174.18,191.76,163.42,119.14,134.51,177.42,135.75,97.16,150.39,147.86,107.59,227.5,141.43,137.68,99.63
Jordan,JOR,AS,2017,66.64,99.086,118.06,84.98,79.29,107.83,113.53,99.29,154.07,65.75,43.818,68.55,49.84,81.46,63.76,138.08,91.35,65.85,57.93,95.12
Jordan,JOR,AS,2021,70.59,101.04,120.87,87.27,97.43,103.85,112.18,92.6,137.53,63.98,51.81,83.28,52.94,91.78,61.44,110.75,91.18,76.71,72.75,105.37
Kazakhstan,KAZ,AS,2017,55.08,70.57,96.55,84.15,62.77,76.71,66.78,75.66,46.41,93.29,63.413,78.44,30.55,55.99,67.06,53.86,41.97,59.51,16.34,92.64
Kazakhstan,KAZ,AS,2021,46.56,63.35,78,62.37,57.53,74.3,57.24,66,59.53,86.82,50.69,66.21,24.26,51.26,47.03,83.93,45.34,43.86,29.2,84.77
Kenya,KEN,AF,2017,57.71,80.809,64.79,86.62,80.13,98.7,72.52,110.25,129.69,47.83,64.588,50.67,41.15,81.15,38.81,103.85,64.52,53.23,36.16,111.95
Kenya,KEN,AF,2021,57.42,93.19,71.57,86.05,112.9,109.75,77.44,122.85,128.77,50.5,39.48,55.93,48.29,75.9,43.17,82.99,68.15,51.21,50.65,104.86
Kuwait,KWT,AS,2017,88.57,119.752,198.11,146.22,104.14,111.68,118.18,95.97,,99.81,74.388,88.42,97.43,71,102.9,87.58,119.53,98.04,148.93,91.59
Kuwait,KWT,AS,2021,103.49,131.35,193.37,147.36,130.62,136.15,126.43,88.64,,130.56,76.03,122.46,133.36,77.29,108.37,76.29,197.34,130.35,188.09,109.83
Kyrgyzstan,KGZ,AS,2017,40.38,67.277,84.57,77.43,65.85,75.58,63.91,81.47,42.88,86.2,12.061,76.9,29.13,54.99,68.42,55.38,29.7,52.91,8.35,90.59
Kyrgyzstan,KGZ,AS,2021,38.28,66.57,68.94,65.2,63.85,80.6,59.26,79.67,70.79,86.19,18.2,69.41,17.74,55.85,50.3,78.46,53.45,46.97,17.2,84.46
Laos,LAO,AS,2017,53.79,82.267,83.91,89.75,78.01,106.33,80.95,76.24,121.59,47.68,37.887,59.06,22.3,85.52,58.18,122.37,75.22,48.43,17.66,110.3
Laos,LAO,AS,2021,47.28,88.57,86.67,97.14,92.56,112.1,85.38,71.71,112.12,54,35.08,59.82,21.7,83.37,47.97,114.09,39.37,43.86,16.79,104.74
Latvia,LVA,EU,2017,89.68,104.861,110.55,130.24,100.65,101.68,91.93,126.77,92.84,131.48,83.933,98.49,51.26,102.02,102.56,91.35,79.46,88.67,67.95,90.49
Latvia,LVA,EU,2021,91.82,112.6,114.06,141.66,113.84,111.82,92.49,129.4,106.74,135.46,93.61,105.2,69.88,112.78,108.4,104.99,99.41,98.04,70.27,88.95
Lebanon,LBN,AS,2021,59.36,118.82,89.7,78.9,125.6,158.19,134.49,107.31,75.41,113.92,41.63,90.03,29.21,79.43,62.03,109.78,49.67,74.09,27.49,136.25
Lesotho,LSO,AF,2017,56.38,76.441,88.64,102.28,73.92,95.14,67.84,75.23,84.86,48.51,38.932,50.46,58.73,65.52,59.4,85.97,147.4,54.4,66.96,131.02
Lesotho,LSO,AF,2021,59.01,83.03,92.08,106.86,80.37,103.8,73.28,86,75.51,70.24,48.91,51.14,51.39,75.7,66.65,92.08,152.07,45.83,64.4,95.67
Liberia,LBR,AF,2017,61.04,135.175,95.9,128.62,209.7,213.25,92.84,56.65,148.87,62.36,24.373,51.86,39.82,69.95,55.09,141.69,56.8,54.2,34.27,166.26
Liberia,LBR,AF,2021,65.24,112.29,97.76,121.64,142.78,170.53,90.26,68.18,129.24,64.6,66.97,61.27,43.52,77.3,69.93,116.48,83.41,54.27,19.94,91.32
Lithuania,LTU,EU,2017,79.09,90.458,95.48,92.91,95.05,86.58,86.85,108.61,81.74,131.98,60.77,95.51,49.17,102.02,86.66,90.53,68.8,77.33,52.61,84.18
Lithuania,LTU,EU,2021,81.13,102.74,114.54,122.29,110.73,97.8,85.83,120.89,90.35,134.42,68.54,99.29,56.34,113.35,96.93,101.4,93.13,85.93,69.45,84.09
Luxembourg,LUX,EU,2017,156.4,143.891,164.46,147.57,149.2,127.61,171.63,165.33,82.67,135.7,230.278,135.73,164.28,124.81,141.12,108.59,130.98,124.3,402.71,94.31
Luxembourg,LUX,EU,2021,184.36,150.46,171.4,190.32,151.7,126.74,168.42,165.1,88.15,140.39,272.61,148.45,176.27,139.46,178.19,114.48,173.25,133.03,422.59,96.45
Madagascar,MDG,AF,2017,44.3,66.627,56.39,45.37,84.91,88.58,55.97,89.29,96.86,38.33,30.564,42.8,35.82,63.68,33.01,119.17,95.42,41.34,23.07,137.39
Madagascar,MDG,AF,2021,43.26,68.52,67.93,48.75,82.32,105.85,53.98,79.66,80.62,42.1,33.76,36.48,36.1,58.67,31.84,93.82,110.27,37.91,26.97,102
Malawi,MWI,AF,2017,47.49,61.3,49.04,53.88,69.15,97.85,57.17,87.59,100.55,44.81,36.645,43.27,44.06,89.54,49.24,151.52,130.44,57.16,33.67,127.39
Malawi,MWI,AF,2021,52.89,86.52,73.42,75.36,99.39,108.14,65.08,105.55,137.36,58.02,28.14,60.53,52.27,88.94,53.36,135.59,131.69,52.35,54.66,107.63
Malaysia,MYS,AS,2017,57.56,76.82,87.4,100.39,71.54,92.02,68.92,74.1,186.88,58.76,38.869,54.7,51.61,66.49,39.3,99.45,85.37,50.91,65.5,97.35
Malaysia,MYS,AS,2021,56.21,83.08,97.58,108.57,81.77,103.5,71.18,76.6,204.2,58.8,34.45,63.75,43.76,62.71,30.46,94.09,80.85,56.79,77.78,105.11
Maldives,MDV,AS,2017,91.24,91.287,144.22,203.16,84.77,126.78,73.57,45,,69.65,122.987,93.84,49.28,118.59,50.58,298.82,135.34,81.58,79.09,118.63
Maldives,MDV,AS,2021,92.9,103.53,189.12,217.57,102.15,129.25,88.88,46.64,,124.63,136.92,86.01,52.78,101.14,68.97,224.74,119.16,83.04,67.9,111
Mali,MLI,AF,2017,50.55,73.166,56.31,77.8,72.25,137.34,63.14,65.93,114.18,55.83,19.865,49.31,48.95,72.49,67.27,117.45,168.38,53.27,34.67,124.83
Mali,MLI,AF,2021,51.44,83.91,63.87,81.37,90.04,117.12,68.38,78.26,128.04,59.6,18.5,48.53,45.97,96.27,64.25,104.82,106.37,54.67,46.7,141.59
Malta,MLT,EU,2017,101.71,124.766,133.06,149.24,125.84,113.54,119.32,155.32,95.31,133.59,77.504,118.96,91.88,114.37,101.62,110.63,111.12,94.11,128.18,97.99
Malta,MLT,EU,2021,108.61,136.61,162.47,165.53,141.19,127.6,120.3,152.7,105.86,134.07,87.53,120.95,92.3,122.7,124.68,116.25,141.85,101.74,155.12,98.67
Mauritania,MRT,AF,2017,49.9,81.623,96.57,105.04,79.41,103.7,70.44,71.62,,31.37,27.181,44.64,42.93,58.56,38.51,87.5,93.85,49.37,29.08,82.03
Mauritania,MRT,AF,2021,47.57,80.9,89.33,90.16,74.2,93.49,79.44,73.74,,39.39,31.53,58.61,37.23,57,56.94,81.25,110.84,51.28,26.69,100.81
Mauritius,MUS,AF,2017,74.87,109.309,109.61,176.78,93.84,101.07,126.62,102.83,132.7,77.26,33.682,72.68,68.48,104.55,86.66,138.54,97.51,58.69,87.32,124.48
Mauritius,MUS,AF,2021,64.29,103.77,120.08,154.05,79.81,114.49,110.57,83.66,122.33,78.55,35.47,75.27,47.87,71.28,82.05,110.86,54.84,57.88,62.43,88.1
Mexico,MEX,NA,2017,74.69,88.741,80.82,109.71,106.61,79.38,80.62,109.41,81.13,87.99,82.166,82.68,77.5,85.11,63.31,78.33,60.59,70.1,23.03,93.97
Mexico,MEX,NA,2021,74.67,101.61,87.12,122.94,126.48,94.89,86.82,126.8,88.22,87.99,81.86,92.77,82.96,94.52,84.25,94.52,68.85,79.49,20.68,97.53
Moldova,MDA,EU,2017,49.48,67.133,89.46,66.44,58.49,75.84,69.5,77.6,48.04,90.53,32.85,81.88,31.23,67.75,64.37,52.76,37.92,61.96,9.49,89.12
Moldova,MDA,EU,2021,50.32,71.38,72.41,68.62,65.57,89.26,66.27,84.34,69.39,96.33,34.07,77.2,33.23,71.41,58.66,81.84,66.37,56.8,27.07,90.45
Mongolia,MNG,AS,2017,51.32,69.832,125.91,126.71,75.37,92.27,45.72,110.47,118.36,57.6,44.734,70.59,24.95,61.89,46.16,83.76,78.17,45.12,26.01,101.25
Mongolia,MNG,AS,2021,46.05,75.13,150.79,150.18,79.56,100.13,54.94,115.05,111.37,60.02,48.81,73.15,22.66,57.34,43.56,80.91,79.16,50.8,24.97,101.89
Montenegro,MNE,EU,2017,67.81,88.123,102.31,105.94,87.45,83.13,78.27,119.59,92.69,119.52,47.978,84.03,37.68,97.47,73.7,90.41,90.75,70.3,32.07,87.25
Montenegro,MNE,EU,2021,63.71,95,100.77,120.17,94.52,90.33,78.86,124.77,102.31,121.26,49.59,86.12,35.64,110.26,78.02,105.56,114.04,77.94,33.13,86.15
Montserrat,MSR,NA,2017,112.43,184.936,336.08,352.72,172.06,209.46,125.3,188.15,187.36,166.51,79.029,84.54,102.06,136.59,84.58,107.81,102.6,74.32,52.1,164.32
Morocco,MAR,AF,2017,63.47,88.869,92.23,79.67,99.93,84.77,105.89,85.91,162.52,56,38.286,54.01,61.03,77.52,57.5,103.14,137.44,69.19,72.58,86.79
Morocco,MAR,AF,2021,67.61,92.55,100.66,74.86,96.54,96.07,106.82,84.86,147.14,67.58,52.82,51.08,65.67,86.65,57.43,101.09,148.62,65.12,63.5,84.53
Mozambique,MOZ,AF,2017,49.57,77.653,69.89,84.86,73.68,107.89,83.04,74.73,87.12,39.65,31.335,67.94,43.18,58.57,43.2,109.98,86.41,57.28,39.52,112.34
Mozambique,MOZ,AF,2021,53.46,81.93,62.84,92.72,75.92,100.51,81.93,84.66,94.48,57.01,36.54,63.42,41.77,59.8,48.05,112.22,77.36,58.31,50.61,91.31
Namibia,NAM,AF,2017,74.28,98.393,122.05,136.51,103.2,117.62,88.92,55.68,81.16,56.5,61.69,63.66,69.59,86.42,67.54,106.68,113.14,70.13,87.28,129.38
Namibia,NAM,AF,2021,73.07,92.45,138.96,130.23,88.43,115.46,85.86,52.63,78.4,63.65,80.52,61.04,70.26,71.97,65.31,84.53,96.74,61.97,87.51,92.44
Nepal,NPL,AS,2017,41.85,64.251,68.45,50.82,60.03,75.83,72.13,79.54,167.11,42.02,29.9,46.08,22.07,80.58,29.76,157.08,33.51,28.16,22.81,93.3
Nepal,NPL,AS,2021,41.89,66.49,78.9,49.37,68.86,76.28,70.98,76.03,182.2,43.61,31.47,52.29,19.09,85.35,36.59,153.53,29.47,35.87,24.38,97.88
Netherlands,NLD,EU,2017,137.57,115.836,123.88,142.88,107.24,97.42,151.27,147.01,88.44,134.51,182.267,122.35,142.84,154.57,141.25,130.32,144.37,113.8,153.47,96.12
Netherlands,NLD,EU,2021,145.44,113.99,121.73,149.75,109.04,95.41,126.51,127.94,83.35,130.28,194.89,121.74,150.69,165.1,162.13,129.31,154.15,119.56,156.29,100.79
New Zealand,NZL,OC,2017,160.18,163.691,152.59,215.78,152.28,161.52,163.59,147.01,138.84,125.14,236.631,137.64,118.85,139.05,140.97,111.76,168.49,123.75,122.28,101.11
New Zealand,NZL,OC,2021,156.13,142.51,181.18,239.08,130.17,160.06,116.09,127.27,147.16,118.5,291.42,130.49,112.75,131.88,173.37,110.62,165.29,128.19,132.3,108.39
Nicaragua,NIC,NA,2017,54.99,78.581,55.01,97.87,99.58,81.71,65.3,87.17,114.47,54.76,40.516,50.22,33.6,56.18,56.13,96.75,101.1,58.43,32.38,96.02
Nicaragua,NIC,NA,2021,49.42,81.53,55.74,96.35,97.11,89.59,64.31,101.91,108.49,58.46,30.75,50.06,28.86,60.36,48.31,76.58,143.41,43.86,31.48,86.81
Niger,NER,AF,2017,60.37,96.792,66.33,78.11,108.4,138.38,82.03,118.3,108.51,51.02,39.977,54.94,55.68,71.15,49.29,142.28,86.96,48.71,53.92,131.86
