Country,Code,ContinentCode,Year,Cost of living index world average = 100,Food price index world average = 100,Fruit price index world average = 100,Vegetable price index world average = 100,Bread and cereal prices world average = 100,Milk cheese and eggs price index world average = 100,Meat price index world average = 100,Fish and seafood prices world average = 100,Alcohol beverage price index world average = 100,Clothing and footwear prices world average = 100,Housing and utilities price index world average  = 100,Furniture and household maintenance prices world average = 100,Healthcare price index world average = 100,Transport prices world average = 100,Hotel and restaurant price index world average = 100,Vehicle prices world average = 100,Communication price index world average = 100,Recreation and culture price index world average = 100,Education service price index world average = 100,Machinery and equipment prices world average = 100
Uganda,UGA,AF,2021,52.83,75.47,44.03,54.59,117.33,110.82,63.24,101.63,113.78,52.8,49.23,55.46,36.57,69.61,60.04,91.43,97.45,59.46,26.99,84.23
Ukraine,UKR,EU,2017,37.76,55.473,,,42.67,62.54,54.19,89.1,45.52,114.58,20.884,50.57,14.37,65.43,32.17,91.46,22.55,37.07,14.42,80.99
Ukraine,UKR,EU,2021,41.88,71.14,59.6,74.1,63.47,89.62,63.58,89.76,56.68,103.12,32.77,55,19.37,78.52,44.51,93.68,41.1,44.58,22.48,83.42
United Arab Emirates,ARE,AS,2017,110.65,128.869,169.88,128.14,138.67,128.89,131.52,109.36,171.1,97.8,123.567,76.79,100.38,75.78,93.48,86.23,138.98,98.36,146.69,90.45
United Arab Emirates,ARE,AS,2021,114.81,138.42,161.62,126.23,156.65,140.69,133.6,82.39,210.6,123.64,102.07,133.89,114.9,76.8,111.1,78.44,212.03,109.62,177.64,107.32
United Kingdom,GBR,EU,2017,144.03,106.357,123.78,130.63,102.12,90.21,116.88,117.04,115.55,116.42,234.09,117.37,136.42,138.72,131.75,105.64,122.19,112.07,177.85,83.89
United Kingdom,GBR,EU,2021,153.03,109.1,129.32,134.06,106.54,96.32,109.07,121.83,121.43,115.38,240.53,117.3,162.11,160.27,131.44,119.83,126.68,124.85,170.61,95.22
Uruguay,URY,SA,2017,124.24,145.595,129.96,175.07,213.79,162.19,98.55,101.06,173.93,139.82,108.248,113.91,124.42,129.14,114.64,139.7,138.73,110.75,112.76,131.66
Uruguay,URY,SA,2021,100.24,137.46,139.57,153.93,174.33,156.22,99.11,105.94,117.79,125.27,101.7,105.97,105.31,103.45,87.65,89.87,71.98,90.19,93.71,131.16
USA,USA,NA,2017,143.34,123.827,136.28,167.11,128.3,109.91,125.64,147.33,109.67,133.26,170.234,117.01,179.52,110.32,127.71,103.89,202.03,117.83,272.75,90.83
USA,USA,NA,2021,159.13,117.52,120.79,177.83,117.44,106.66,117.06,135.39,98.81,122.8,214.62,114.44,207.91,115.97,142,105.15,224.03,114.52,254.72,83.27
Uzbekistan,UZB,AS,2021,36.27,72.73,85.17,67.75,71.08,84.08,66.4,86.41,63.59,83.76,16.12,67.01,19.14,53.51,52.79,82.24,20.13,41.46,15.38,90.3
Vietnam,VNM,AS,2017,50.03,73.294,79.31,80.93,70.02,96.54,68.79,70.63,96.28,47.92,47.334,59.97,31.42,72.95,35.01,120.59,41.2,40.45,28,100.34
Vietnam,VNM,AS,2021,46.36,79.48,80.66,80.53,77.04,95.36,81.97,80.63,101.77,51.51,37.64,61.66,29.75,69.88,35.97,102.08,39.41,42.07,29.91,99.96
Zambia,ZMB,AF,2017,63.6,86.645,56.77,92.79,112.02,106.19,65.24,90.1,101.06,50.45,46.315,64.58,37.42,110.55,47.62,131.42,132.16,62.69,49.3,138.86
Zambia,ZMB,AF,2021,45,66.92,47.13,59.81,87.08,86.41,50.17,75.18,68.81,48.3,33.91,44,29.94,85.69,38.94,121.19,68.35,41.4,34.98,96.29
Zimbabwe,ZWE,AF,2017,69.53,101.714,112.78,130.06,111.18,109.44,90.99,83.02,117.92,84.22,43.133,81.82,47.54,88.24,73.27,152,157.64,49.59,52.93,129.89
Zimbabwe,ZWE,AF,2021,90.09,137.07,141.92,176.86,139.66,151.16,105.99,132.55,172.91,119.19,91.5,86.06,55.72,122.45,85.51,148.67,167.76,67.38,29.56,105.21
